id,date,likes,reposts,comments,views,text
8293,1684325317,12,3,0,466,"Вологодский научный центр РАН приглашает принять участие в VII Международной научной интернет-конференции «Проблемы и перспективы развития научно-технологического пространства», которая состоится 21–23 июня 2023 года
 
Конференция посвящена поиску и обоснованию путей развития научно-технологического пространства России, активизации инновационных процессов в регионах с целью повышения конкурентоспособности национальной экономики и создания условий для повышения качества жизни населения и развития человеческого потенциала. 

К участию в конференции приглашаются российские и иностранные ученые, преподаватели, аспиранты, магистранты, бакалавры, работники органов государственной и муниципальной власти. 

✅ Для участия необходимо до 19 июня 2023 года (включительно) зарегистрироваться и разместить тезисы на сайте конференции (http://ntp-conf.volnc.ru). Объем тезисов доклада не должен превышать шести полных страниц. 
Участие в конференции – бесплатное. Сборник материалов конференции будет размещен в наукометрической базе РИНЦ. 
 
Координатор мероприятия: Якушев Николай Олегович – научный сотрудник лаборатории инновационной экономики отдела проблем научно-технологического развития и экономики знаний. 
Контакты: тел (8172) 59-78-10 (доп. 388), е-mail: nilrus@yandex.ru 

Подробная информация на сайте: http://www.volnc.ru/activity/view?id=8607

#ВолНЦРАН #Сотрудничество_ВолНЦРАН #Конференция_ВолНЦРАН"
8310,1685962985,14,3,0,292,"Опубликована монография «Российская экономика и глобальные вызовы. Победители президентских грантов в поисках решений современных проблем»

Авторский коллектив: С.А. Кожевников, Е.А. Мазилов, Н.В. Ворошилов, В.С. Усков, Е.В. Лукин, А.Е. Кремин, А.В. Попов, Т.С. Соловьева, А.И. Россошанский, Е.А. Басова, Г.В. Белехова, М.А. Печенская-Полищук, Т.В. Ускова. 
 
Монография подготовлена коллективом молодых ученых ВолНЦ РАН на основе грантов, поддержанных фондом Президента Российской Федерации. В ней дана характеристика особенностей реакции региональной и национальной экономики на глобальные вызовы и угрозы; выявлены наиболее острые социально-экономические проблемы российских регионов; представлен взгляд исследователей на возможные инструменты решения проблем российской экономики и общества на региональном уровне. 
 
Данная работа адресована работникам органов государственного управления, научным сотрудникам, преподавателям высших учебных заведений, студентам, аспирантам, а также широкому кругу читателей, которых интересуют вопросы развития экономики регионов и страны в целом в условиях глобализации.

http://www.volnc.ru/activity/view?id=8646

#ВолНЦРАН #книги #монография #ПрезидентскиеГранты #РоссийскаяЭкономика"
8309,1685954965,9,4,0,348,"Уважаемые коллеги!
7 июня (среда) 2023 года в 14:00 в конференц-зале корпуса № 7 
ФГБУН ВолНЦ РАН состоится лекция на тему 
«ИННОВАЦИОННЫЕ АСПЕКТЫ В ДЕЯТЕЛЬНОСТИ ОРГАНОВ ЗАГС» 

Докладчик: Ефимова Лариса Николаевна, начальник отдела ЗАГС №1 г. Вологды 

ПРИГЛАШАЮТСЯ ВСЕ ЖЕЛАЮЩИЕ!"
8308,1685698333,16,0,0,400,"Научный семинар «Оценка научно-технологической деятельности в регионе» прошёл в ВолНЦ РАН 
 
С результатами исследования, посвященного оценке научно-технологической деятельности в регионе 1 июня 2023 года выступила на семинаре аналитик [club180176329|Центра трансфера и коммерциализации технологий] Молодцова Ольга Павловна. 

Автором разработана схема создания инновационного продукта в контексте его «жизненного» цикла, выделены этапы реализации научно-исследовательской, технической, инновационной и научно-технологической деятельности в соответствии с уровнем технологической готовности, а также подходы к оценке развития научно-технологической деятельности. На основании выявленных подходов и статистических данных представлена оценка научно-технологической деятельности Вологодской области относительно ресурсного обеспечения и результатов ее реализации, обозначены особенности и ключевые проблемы развития научно-технологической деятельности в Вологодской области.

Подробности читайте на сайте: http://www.volnc.ru/activity/view?id=8650

#ВолНЦРАН #семинары #ВО35"
8307,1685623966,7,1,0,277,"30 мая 2023 года состоялось заседание Ученого совета ФГБУН ВолНЦ РАН

На заседании было представлено научное сообщение ведущего научного сотрудника, зам. зав. отделом, зав. Центром структурных экономических исследований и прогнозирования территориального развития ФГБУН ВолНЦ РАН к.э.н. Е. В. Лукина на тему «Научные направления деятельности Центра структурных исследований. Формирование системы мониторинга и прогнозирования социально-экономического развития территорий».

Евгений Владимирович рассказал о произошедших в ВолНЦ РАН институциональных преобразованиях, о трех исследовательских центрах, созданных в отделе проблем социально-экономического развития и управления в территориальных системах. Докладчик выделил основные задачи по развитию Центра обозначил концептуальное видение перспектив развития Центра, наметил целевые ориентиры и представил дорожную карту их достижения.

В качестве содокладчиков выступили н.с., зав. лабораторией Н. М. Румянцев и н.с. М. А. Сидоров. 

Подробности читайте на сайте: http://www.volnc.ru/activity/view?id=8649

#ВолНЦРАН #УченыйСовет #Исследования_ВолНЦРАН"
8306,1685542330,33,5,0,845,"📃 Заведующий лабораторией экономико-социологических исследований ВолНЦ РАН Т.А. Гужавина приняла участие в XIII Грушинской социологической конференции.

✅25–27 мая 2023 года ВЦИОМ провел на базе Финансового университета при Правительстве РФ XIII Грушинскую социологическую конференцию, в которой приняла участие в качестве модератора секции «Российское общество в условиях неопределенности: проблемы адаптации, парадоксы доверия и поиск источников развития» к.филос.наук в.н.с., заведующий лабораторией экономико-социологических исследований Татьяна Анатольевна Гужавина. На секции она выступила с докладом «Доверие и недоверие как основания для выбора поведенческой стратегии в условиях неопределенности». 
✅ Также Т.А. Гужавина приняла участие в качестве эксперта в работе креативной секции «Проблемное поле молодежи» (модератор – советник ген. директора ВЦИОМ Е.А. Михайлова).

📜 Подробности читайте на сайте: http://www.isert-ran.ru/activity/view?id=8644

#научные_конференции #сотрудничество"
8305,1685541329,7,0,0,227,"Вышел в свет новый выпуск журнала «Проблемы развития территории» (том 27, № 3, 2023 год).
 
Читайте в выпуске: 
 
🧩Рубрика «От редакции»
Ускова Т.В. К вопросу о совершенствовании управления развитием территорий 
http://pdt.isert-ran.ru/article/29619
 
🧩Рубрика «Территориальная организация и управление» 
Попов Е.В., Скворцов М.М. Публичное управление развитием экосистемы территории
http://pdt.isert-ran.ru/article/29620
Еремеева О.С. Проблемы информационного обеспечения экономического анализа территории
http://pdt.isert-ran.ru/article/29621

🧩Рубрика «Территориальные финансы»
Палкина Д.С. Принципы экологического налогообложения и их реализация в регионах России
http://pdt.isert-ran.ru/article/29622

🧩Рубрика «Качество жизни и человеческий потенциал территорий»
Леонидова Г.В. Риски и возможности трудоустройства не по специальности (на материалах регионального мониторинга)
http://pdt.isert-ran.ru/article/29623
Белехова Г.В. Удовлетворенность работой в крупных городах и районах в условиях кризисных процессов 2020–2022 гг.
http://pdt.isert-ran.ru/article/29624
Полянская Е.В. Анализ демографических тенденций Дальневосточного региона (на примере Амурской области)
http://pdt.isert-ran.ru/article/29625

🧩Рубрика ""Инновационный потенциал территорий""
Лебедева М.А. Проблемы научно-производственной кооперации в регионах России (на примере Северо-Западного федерального округа)
http://pdt.isert-ran.ru/article/29626

🧩Рубрика «Мониторинг перемен: основные тенденции» 
Сидоров М.А. Мониторинг экономики: март 2023 года
http://pdt.isert-ran.ru/article/29627
Дементьева И.Н., Леонидова Е.Э. Мониторинг социального самочувствия населения Вологодской области в апреле 2023 года
http://pdt.isert-ran.ru/article/29628
 
🧩Рубрика «Хроника научной жизни»
Конференции, заседания, семинары
http://pdt.isert-ran.ru/article/29629
Новые издания ФГБУН ВолНЦ РАН 
http://pdt.isert-ran.ru/article/29630 
 
#научные_журналы #ВолНЦ_РАН #публикации"
8304,1685444570,18,2,0,527,"👥 25 мая 2023 года в ВолНЦ РАН состоялось заседание постоянно действующего научного семинара «Социальная экономика» в рамках научной школы «Проблемы социально-демографического развития территорий» (руководитель – д.э.н., доцент А.А. Шабунова).
 
📘 Научный сотрудник отдела исследования уровня и образа жизни населения ВолНЦ РАН Александра Владимировна Короленко выступила с сообщением «Брачно-семейная структура населения в зеркале Всероссийских переписей населения: современное состояние и тенденции». 
📘 В докладе были рассмотрены теоретические подходы к объяснению изменений в брачно-семейной структуре населения России в XXI веке, на данных Всероссийских переписей 2010 и 2020 гг. проанализированы состояние и тенденции брачно-семейной структуры населения на страновом и региональном (на примере Вологодской области) уровне. Выявлены характеристики современного состояния брачно-семейной структуры населения России, определены как долговременные тенденции в ней, продолжающиеся с начала 2000-х гг., так и новые тренды. Обнаружена региональная специфика брачно-семейной структуры населения Вологодской области и произошедших в ней изменений. В заключительной части перечислены основные демографические последствия выявленных тенденций.
 
📜 Подробности читайте на сайте: http://www.isert-ran.ru/activity/view?id=8640

#ВолНЦ_РАН #семинары #постфактум #брачно-семейная_структура"
8303,1685427122,15,5,0,558,"📢 Вологодский научный центр Российской академии наук приглашает выпускников 11-х классов на целевое обучение в Государственный академический университет гуманитарных наук (г. Москва).
Обучение будет осуществляться по направлению подготовки 39.03.01 «Социология», профиль «Общий».
 
📜 Условия целевого обучения: 
1) заключение договора с ФГБУН ВолНЦ РАН о целевом обучении; 
2) социальные гарантии от ФГБУН ВолНЦ РАН; 
3) гарантия трудоустройства в ФГБУН ВолНЦ РАН по полученному профилю. 
Условия поступления: выпускники школ по результатам ЕГЭ (обществознание, русский язык, математика (профиль). 
Все практики будут проходить в Вологодском научном центре РАН, по окончании обучения выпускникам будет гарантировано трудоустройство в ФГБУН ВолНЦ РАН в соответствии с полученной специальностью.
 
🏠 Заключение договоров о целевом обучении проводится до 20 июля 2023 года по адресу: г. Вологда, Научно-образовательный центр ВолНЦ РАН, ул. Комсомольская, д. 23а, каб. 202. 
Время работы – с 08.00 до 17.00 (обед с 12.00 до 12.45). Выходные дни – суббота, воскресенье. 
📞 Контактные лица: Наталья Николаевна Бойцова (8172) 59-78-10 (доб. 391), Елена Станиславовна Мироненко (8172) 59-78-38. 
E-mail: vologdanoc@mail.ru

 #обучение #сотрудничество"
8302,1685426502,16,0,0,298,"👤 Председатель профсоюзной организации ВолНЦ РАН Е.С. Мироненко приняла участие в работе XXVIII Всероссийской (Поволжской) Ассамблеи профсоюза работников РАН.
 
✅ С 15 по 19 мая в Тобольске на базе Тобольской комплексной научной станции УрО РАН состоялась Всероссийская (Поволжская) Ассамблея профсоюза работников РАН. Ассамблея собрала свыше 50 профсоюзных активистов из 18 регионов России для обмена опытом и решения проблем первичных профсоюзных организаций в научных учреждениях страны. В рамках мероприятия также осуществлялась подготовка Межотраслевого соглашения профсоюза РАН и Минобрнауки РФ на период 2024–2026 годов. 
✅ По приглашению и.о. председателя Профсоюза работников РАН Я.Л. Богомолова председатель профсоюзной организации ВолНЦ РАН Елена Станиславовна Мироненко приняла участие в работе XXVIII Всероссийской (Поволжской) Ассамблеи профсоюза работников Российской академии наук и представила опыт работы первичной профсоюзной организации ВолНЦ РАН.

Подробности читайте на сайте: http://www.isert-ran.ru/activity/view?id=8639

 #сотрудничество"
